"customer_id","period","region","currency","total_allocation"
"100052","JAN-16","North","RWF","10000"
"100057","JAN-16","North","RWF","10000"
"100062","JAN-16","North","RWF","10000"
"100067","JAN-16","North","RWF","10000"
"100072","JAN-16","North","RWF","10000"
"100077","JAN-16","North","RWF","10000"
"100082","JAN-16","North","RWF","10000"
"100087","JAN-16","North","RWF","10000"
"100092","JAN-16","North","RWF","10000"
"100097","JAN-16","North","RWF","10000"
"100102","JAN-16","North","RWF","10000"
"100107","JAN-16","North","RWF","10000"
"100112","JAN-16","North","RWF","10000"
"100117","JAN-16","North","RWF","10000"
"100122","JAN-16","North","RWF","10000"
"100127","JAN-16","North","RWF","10000"
"100132","JAN-16","North","RWF","10000"
"100221","JAN-16","North","RWF","10000"
"100226","JAN-16","North","RWF","10000"
"100137","MAR-16","North","RWF","10000"
"100142","MAR-16","North","RWF","10000"
"100147","MAR-16","North","RWF","10000"
"100152","MAR-16","North","RWF","10000"
"100195","MAR-16","North","RWF","10000"
"100198","DEC-16","South","RWF","10000"
"100208","DEC-16","South","RWF","10000"
"100213","DEC-16","South","RWF","10000"
"100229","DEC-2015","South","RWF","10000"
"100233","DEC-2015","South","RWF","10000"
"100015","JAN-16","South","RWF","10000"
"100020","JAN-16","South","RWF","10000"
"100025","JAN-16","South","RWF","10000"
"100030","JAN-16","South","RWF","10000"
"100035","JAN-16","South","RWF","10000"
"100040","JAN-16","South","RWF","10000"
"100045","JAN-16","South","RWF","10000"
"100050","JAN-16","South","RWF","10000"
"100055","JAN-16","South","RWF","10000"
"100060","JAN-16","South","RWF","10000"
"100065","JAN-16","South","RWF","10000"
"100070","JAN-16","South","RWF","10000"
"100075","JAN-16","South","RWF","10000"
"100080","JAN-16","South","RWF","10000"
"100085","JAN-16","South","RWF","10000"
"100090","JAN-16","South","RWF","10000"
"100095","JAN-16","South","RWF","10000"
"100100","JAN-16","South","RWF","10000"
"100105","JAN-16","South","RWF","10000"
"100110","JAN-16","South","RWF","10000"
"100115","JAN-16","South","RWF","10000"
"100120","JAN-16","South","RWF","10000"
"100125","JAN-16","South","RWF","10000"
"100130","JAN-16","South","RWF","10000"
"100224","JAN-16","South","RWF","10000"
"100135","MAR-16","South","RWF","10000"
"100140","MAR-16","South","RWF","10000"
"100145","MAR-16","South","RWF","10000"
"100150","MAR-16","South","RWF","10000"
"100155","MAR-16","South","RWF","10000"
"100193","MAR-16","South","EUR","10000"
"100196","DEC-16","West","RWF","10000"
"100206","DEC-16","West","RWF","10000"
"100211","DEC-16","West","RWF","10000"
"100231","DEC-2015","West","RWF","10000"
"100013","JAN-16","West","RWF","10000"
"100018","JAN-16","West","RWF","10000"
"100023","JAN-16","West","RWF","10000"
"100028","JAN-16","West","RWF","10000"
"100033","JAN-16","West","RWF","10000"
"100038","JAN-16","West","RWF","10000"
"100043","JAN-16","West","RWF","10000"
"100048","JAN-16","West","RWF","10000"
"100053","JAN-16","West","RWF","10000"
"100058","JAN-16","West","RWF","10000"
"100063","JAN-16","West","RWF","10000"
"100068","JAN-16","West","RWF","10"
"100073","JAN-16","West","RWF","10000"
"100078","JAN-16","West","RWF","10000"
"100083","JAN-16","West","RWF","10000"
"100088","JAN-16","West","RWF","10000"
"100093","JAN-16","West","RWF","10000"
"100098","JAN-16","West","RWF","10000"
"100103","JAN-16","West","RWF","10000"
"100108","JAN-16","West","RWF","10000"
"100113","JAN-16","West","RWF","10000"
"100118","JAN-16","West","RWF","10000"
"100123","JAN-16","West","RWF","10000"
"100128","JAN-16","West","RWF","10000"
"100133","JAN-16","West","RWF","10"
"100222","JAN-16","West","RWF","10000"
"100227","JAN-16","West","RWF","10000"
"100138","MAR-16","West","RWF","10000"
"100143","MAR-16","West","RWF","10000"
"100148","MAR-16","West","RWF","10000"
"100153","MAR-16","West","RWF","10000"
