id,period,transaction_type,currency,total_disbursement
100213,DEC-16,C,RWF,10000.0
100214,DEC-16,C,RWF,10000.0
100215,DEC-16,D,RWF,10000.0
100215,JAN-16,C,RWF,50000.0
100221,JAN-16,D,RWF,10000.0
100222,JAN-16,D,RWF,10000.0
100223,JAN-16,C,RWF,10000.0
100224,JAN-16,C,RWF,10000.0
100225,JAN-16,D,RWF,10000.0
100226,JAN-16,C,RWF,10000.0
100227,JAN-16,C,RWF,10000.0
100228,JAN-16,D,RWF,10000.0
100229,DEC-2015,D,RWF,10000.0
100230,DEC-2015,D,RWF,10000.0
100231,DEC-2015,C,RWF,10000.0
100232,DEC-2015,D,RWF,10000.0
100233,DEC-2015,D,RWF,10000.0
100234,DEC-2015,C,RWF,10000.0
